2021-10-07T16:51:10.926758][jik] : dk
2021-10-07T16:51:12.329211][jik] : asdf
2021-10-07T16:51:15.262479][jik] : ready
2021-10-07T16:51:21.251060][jik] : ready
2021-10-07T16:51:38.040511][jik] : ready
2021-10-07T16:51:45.489752][jik] : ready
2021-10-07T16:52:10.142778][jik] : select
2021-10-07T16:54:26.659264][jik] : null
2021-10-07T16:54:30.837008][jik] : null
2021-10-07T16:54:32.839197][jik] : null
2021-10-07T17:05:38.708933][jik] : ready
2021-10-07T17:05:41.423397][jik] : ready
2021-10-07T17:05:44.087821][jik] : ready
2021-10-07T17:05:47.408034][jik] : ready
2021-10-07T17:06:51.978076][jik] : select
